id,German,Article,English,ExampleSentence,CEFR,WordType,Category,ArticleQuizEligible,Source,Notes,Priority,ReviewNote
a2_0025,Anfang,der,beginning,Am Anfang war es schwer.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0026,Angst,die,fear,Das Kind hat Angst.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0027,ankommen,,to arrive,Der Zug kommt um acht an.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0028,Ankunft,die,arrival,Die Ankunft ist um zehn Uhr.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0029,anmachen,,to turn on,Mach bitte das Licht an.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0030,anmelden,,to register,Ich melde mich für den Kurs an.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0031,Anmeldung,die,registration,Die Anmeldung ist bis Freitag möglich.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0032,Anrufbeantworter,der,answering machine,Sprechen Sie bitte auf den Anrufbeantworter.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0033,anrufen,,to call,Ich rufe dich später an.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0034,Anruf,der,phone call,Ich bekomme einen Anruf.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0035,Anschluss,der,connection,Wir haben Anschluss nach Berlin.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0036,ansehen,,to look at/watch,Ich sehe mir die Fotos an.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0037,antworten,,to answer,Bitte antworte auf meine Frage.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0038,Antwort,die,answer,Die Antwort ist richtig.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0039,Anzeige,die,advertisement,Ich habe die Anzeige gelesen.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0040,Anzug,der,suit,Er trägt einen schwarzen Anzug.,A2,noun,Travel,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0041,Apfel,der,apple,Ich esse einen Apfel.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0042,Apotheke,die,pharmacy,Die Apotheke ist neben dem Supermarkt.,A2,noun,Health,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0043,Arbeit,die,work/job,Ich gehe heute zur Arbeit.,A2,noun,Work,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0044,arbeiten,,to work,Mein Bruder arbeitet im Krankenhaus.,A2,verb,Work,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0045,Arbeitgeber,der,employer,Mein Arbeitgeber ist sehr nett.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0046,Arbeitnehmer,der,employee,Der Arbeitnehmer hat heute frei.,A2,noun,Work,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0047,Arbeitsplatz,der,workplace/job,Mein Arbeitsplatz ist in der Stadt.,A2,noun,Work,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0048,Arbeitszeit,die,working hours,Meine Arbeitszeit beginnt um acht.,A2,noun,Work,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0049,arm,,poor,Die Familie ist arm.,A2,adjective,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0050,Arm,der,arm,Mein Arm tut weh.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0051,Arzt,der,doctor,Ich habe einen Termin beim Arzt.,A2,noun,Health,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0052,Ärztin,die,female doctor,Die Ärztin untersucht das Kind.,A2,noun,Health,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0053,auch,,also/too,Ich komme auch mit.,A2,adverb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0054,auf,,on/open/up,Das Buch liegt auf dem Tisch.,A2,preposition,Grammar,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,High-frequency grammar/function word.
a2_0055,Aufgabe,die,task/exercise,Die Aufgabe ist leicht.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0056,aufhören,,to stop,Der Regen hört bald auf.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0057,aufmachen,,to open,Kannst du das Fenster aufmachen?,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0058,aufpassen,,to pay attention/watch,Pass bitte gut auf.,A2,verb,Shopping,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0059,aufräumen,,to tidy up,Ich räume mein Zimmer auf.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0060,aufstehen,,to get up,Ich stehe um sieben Uhr auf.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0061,Aufzug,der,elevator,Der Aufzug ist kaputt.,A2,noun,Travel,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0062,Auge,das,eye,Mein linkes Auge tut weh.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0063,aus,,from/out/off,Sie kommt aus Österreich.,A2,preposition,Grammar,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,High-frequency grammar/function word.
a2_0064,Ausbildung,die,training/apprenticeship,Ich mache eine Ausbildung.,A2,noun,Travel,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0065,Ausflug,der,excursion,Wir machen einen Ausflug.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0066,ausfüllen,,to fill out,Bitte füllen Sie das Formular aus.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0067,Ausgang,der,exit,Wo ist der Ausgang?,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0068,ausgeben,,to spend,Ich gebe viel Geld für Bücher aus.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0069,ausgehen,,to go out/go off,Wir gehen am Freitag aus.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0070,Auskunft,die,information,Können Sie mir eine Auskunft geben?,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0071,Ausland,das,abroad/foreign country,Sie arbeitet im Ausland.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0072,ausmachen,,to turn off/arrange,Mach bitte das Licht aus.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0073,auspacken,,to unpack,Ich packe den Koffer aus.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0074,ausruhen,,to rest,Ich ruhe mich nach der Arbeit aus.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0075,aussehen,,to look/appear,Das Kleid sieht schön aus.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0076,außer,,except,Alle kommen außer Lisa.,A2,preposition,Grammar,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,High-frequency grammar/function word.
a2_0077,außerdem,,besides/in addition,Außerdem brauche ich Milch.,A2,adverb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0078,Auszubildende,der/die,trainee/apprentice,Die Auszubildende lernt im Büro.,A2,noun,Travel,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0079,Auto,das,car,Wir fahren mit dem Auto.,A2,noun,Travel,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0080,Autor,der,author,Der Autor schreibt ein Buch.,A2,noun,Travel,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0081,Autorin,die,female author,Die Autorin liest aus ihrem Buch.,A2,noun,Travel,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0082,Babysitter,der,babysitter,Der Babysitter kommt um sechs.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0083,Bäcker,der,baker,Der Bäcker verkauft Brot.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0084,Bäckerin,die,female baker,Die Bäckerin arbeitet früh.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0085,Bäckerei,die,bakery,Ich kaufe Brötchen in der Bäckerei.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0086,baden,,to bathe/swim,Im Sommer baden wir im See.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0087,Bahn,die,train/railway,Ich fahre mit der Bahn.,A2,noun,Travel,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0088,Bahnhof,der,train station,Der Bahnhof ist nicht weit.,A2,noun,Travel,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0089,Bahnsteig,der,platform,Der Zug fährt von Bahnsteig zwei.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0090,bald,,soon,Wir sehen uns bald.,A2,adverb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0091,Balkon,der,balcony,Unsere Wohnung hat einen Balkon.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0092,Bank,die,bank/bench,Ich gehe zur Bank.,A2,noun,Shopping,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0093,bar,,cash,Ich zahle bar.,A2,adverb,Shopping,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0094,Bauch,der,stomach/belly,Mein Bauch tut weh.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0095,Baum,der,tree,Der Baum steht im Garten.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0096,beantworten,,to answer,Bitte beantworten Sie die Frage.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0097,bedanken,,to thank,Ich bedanke mich für Ihre Hilfe.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0098,bedeuten,,to mean,Was bedeutet dieses Wort?,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0099,bedienen,,to serve/use,Der Kellner bedient die Gäste.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0100,beeilen,,to hurry,Bitte beeil dich!,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0101,beenden,,to finish/end,Wir beenden den Kurs um fünf.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0102,befinden,,to be located/feel,Das Büro befindet sich im zweiten Stock.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0103,begegnen,,to meet/encounter,Ich begegne meiner Nachbarin im Park.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0104,beginnen,,to begin,Der Film beginnt um acht.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0105,Begrüßung,die,greeting,Die Begrüßung war sehr freundlich.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0106,behalten,,to keep,Du kannst das Buch behalten.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0107,bei,,at/with/near,Ich wohne bei meiner Familie.,A2,preposition,Grammar,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,High-frequency grammar/function word.
a2_0108,beide,,both,Beide Kinder lernen Deutsch.,A2,determiner,Grammar,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,High-frequency grammar/function word.
a2_0109,Bein,das,leg,Mein Bein ist müde.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0110,Beispiel,das,example,Kannst du ein Beispiel geben?,A2,noun,School,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0111,bekannt,,known/famous,Dieser Ort ist bekannt.,A2,adjective,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0112,Bekannte,der/die,acquaintance,Eine Bekannte ruft mich an.,A2,noun,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0113,bekommen,,to get/receive,Ich bekomme heute Besuch.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0114,beliebt,,popular,Fußball ist sehr beliebt.,A2,adjective,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0115,benutzen,,to use,Bitte benutzen Sie den Eingang links.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0116,Benzin,das,petrol/gasoline,Wir brauchen Benzin.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0117,beobachten,,to observe/watch,Ich beobachte die Kinder im Garten.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0118,bequem,,comfortable,Das Sofa ist bequem.,A2,adjective,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0119,beraten,,to advise,Die Verkäuferin berät den Kunden.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0120,Bereich,der,area/field,Dieser Bereich ist für Kinder.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0121,bereit,,ready,Bist du bereit?,A2,adjective,School,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0122,Bericht,der,report,Ich schreibe einen kurzen Bericht.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0123,Beruf,der,profession/job,Was ist Ihr Beruf?,A2,noun,Work,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0124,beschreiben,,to describe,Beschreiben Sie bitte das Bild.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0125,Bescheid,der,information/notice,Sag mir bitte Bescheid.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0126,besetzt,,occupied/busy,Der Platz ist besetzt.,A2,adjective,Travel,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0127,besichtigen,,to visit/tour,Wir besichtigen die Stadt.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0128,besonders,,especially,Das Essen ist besonders gut.,A2,adverb,Family,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0129,besser,,better,Heute geht es mir besser.,A2,adjective,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0130,bestellen,,to order,Ich bestelle eine Pizza.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0131,bestimmt,,certain/surely,Das klappt bestimmt.,A2,adverb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0132,Besuch,der,visit/visitor,Wir bekommen Besuch.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0133,besuchen,,to visit,Ich besuche meine Tante.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0134,Bett,das,bed,Das Bett ist sehr bequem.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0135,bewerben,,to apply,Ich bewerbe mich um eine Stelle.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0136,Bewerbung,die,application,Ich schreibe eine Bewerbung.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0137,bezahlen,,to pay,Ich möchte die Rechnung bezahlen.,A2,verb,Shopping,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0138,Bibliothek,die,library,Ich lerne in der Bibliothek.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0139,biegen,,to turn/bend,Biegen Sie links ab.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0140,Bild,das,picture/image,Das Bild hängt an der Wand.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0141,billig,,cheap,Diese Schuhe sind billig.,A2,adjective,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0142,biologisch,,organic/biological,Wir kaufen biologisches Gemüse.,A2,adjective,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0143,bis,,until/to,Ich arbeite bis fünf Uhr.,A2,preposition,Grammar,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,High-frequency grammar/function word.
a2_0144,bisschen,ein,a little,Ich spreche ein bisschen Deutsch.,A2,phrase,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0145,bitte,,please,Kommen Sie bitte herein.,A2,phrase,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0146,Bitte,die,request,Ich habe eine Bitte.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0147,bitten,,to ask/request,Ich bitte dich um Hilfe.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0148,Blatt,das,sheet/leaf,Nimm bitte ein Blatt Papier.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0149,bleiben,,to stay,Ich bleibe heute zu Hause.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0150,Bleistift,der,pencil,Ich schreibe mit dem Bleistift.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
