id,German,Article,English,ExampleSentence,CEFR,WordType,Category,ArticleQuizEligible,Source,Notes,RecommendedRemoval
a1_0034,Ansage,die,announcement,Hören Sie bitte die Ansage.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0035,Anschluss,der,connection; phone connection,Wir haben Anschluss nach Wien.,A1,noun,Communication,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0036,Antwort,die,answer,Die Antwort ist richtig.,A1,noun,Communication,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0038,Anzeige,die,advertisement; notice,Ich lese die Anzeige in der Zeitung.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0039,Apartment,das,apartment,Wir mieten ein Apartment.,A1,noun,Housing,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0040,Apfel,der,apple,Ich esse einen Apfel.,A1,noun,Food,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0041,Appetit,der,appetite,Guten Appetit!,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0042,Arbeit,die,work; job,Meine Arbeit beginnt um acht Uhr.,A1,noun,Work,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0045,Arbeitsplatz,der,workplace,Mein Arbeitsplatz ist ruhig.,A1,noun,Work,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0046,Arm,der,arm,Mein Arm tut weh.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0047,Arzt,der,doctor,Ich gehe zum Arzt.,A1,noun,Health,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0051,Aufgabe,die,task; exercise,Die Aufgabe ist einfach.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0054,Aufzug,der,elevator,Der Aufzug ist kaputt.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0055,Auge,das,eye,Meine Augen sind braun.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0058,Ausflug,der,excursion; trip,Wir machen einen Ausflug.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0060,Ausgang,der,exit,Wo ist der Ausgang?,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0061,Auskunft,die,information,Können Sie mir eine Auskunft geben?,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0062,Ausländer,der,foreigner,Er ist Ausländer.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0064,Ausland,das,foreign countries; abroad,Wir fahren ins Ausland.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0066,Aussage,die,statement,Die Aussage ist richtig.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0069,Ausweis,der,ID card,Hier ist mein Ausweis.,A1,noun,Travel,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0070,Auto,das,car,Ich fahre mit dem Auto.,A1,noun,Travel,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0071,Autobahn,die,highway; motorway,Die Autobahn ist voll.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0072,Automat,der,machine; vending machine,Die Fahrkarte gibt es am Automaten.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0074,Baby,das,baby,Das Baby schläft.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0075,Bad,das,bathroom; bath,Das Bad ist klein.,A1,noun,Housing,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0077,Bäckerei,die,bakery,Ich gehe zur Bäckerei.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0078,Bahn,die,train; railway,Ich fahre mit der Bahn.,A1,noun,Travel,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0079,Bahnhof,der,train station,Der Bahnhof ist in der Nähe.,A1,noun,Travel,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0080,Bahnsteig,der,platform,Der Zug fährt von Bahnsteig zwei.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0082,Balkon,der,balcony,Die Wohnung hat einen Balkon.,A1,noun,Housing,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0083,Banane,die,banana,Ich kaufe drei Bananen.,A1,noun,Food,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0084,Bank,die,bank; bench,Die Bank öffnet um neun Uhr.,A1,noun,Shopping,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0086,Bauch,der,stomach; belly,Mein Bauch tut weh.,A1,noun,Health,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0087,Baum,der,tree,Der Baum ist groß.,A1,noun,Nature,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0093,Bein,das,leg,Mein Bein tut weh.,A1,noun,Health,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0094,Beispiel,das,example,Das ist ein gutes Beispiel.,A1,noun,School,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0099,Beruf,der,profession; job,Was sind Sie von Beruf?,A1,noun,Work,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0106,Bett,das,bed,Das Kind liegt im Bett.,A1,noun,Housing,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0108,Bier,das,beer,Ein Bier bitte.,A1,noun,Food,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0109,Bild,das,picture,Das Bild ist schön.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0111,Birne,die,pear,Ich kaufe ein Kilo Birnen.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0118,Bleistift,der,pencil,Hast du einen Bleistift?,A1,noun,School,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0119,Blick,der,view; look,Der Blick ist sehr schön.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0120,Blume,die,flower,Die Blumen sind schön.,A1,noun,Nature,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0122,Bogen,der,sheet; form,Schreiben Sie auf den Antwortbogen.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0125,Brief,der,letter,Ich schreibe einen Brief.,A1,noun,Communication,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0126,Briefmarke,die,stamp,Ich brauche eine Briefmarke.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0128,Brötchen,das,bread roll,Ich esse ein Brötchen.,A1,noun,School,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0129,Brot,das,bread,Ich kaufe ein Brot.,A1,noun,School,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0130,Bruder,der,brother,Mein Bruder wohnt in Graz.,A1,noun,Family,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0131,Buch,das,book,Ich lese ein Buch.,A1,noun,School,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0132,Buchstabe,der,letter of alphabet,Dieser Buchstabe ist neu.,A1,noun,Communication,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0134,Bus,der,bus,Der Bus kommt um acht Uhr.,A1,noun,Travel,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0135,Butter,die,butter,Ich möchte Brot mit Butter.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0136,Café,das,café,Wir treffen uns im Café.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0137,CD,die,CD,Ich höre eine CD.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0138,Chef,der,boss,Mein Chef ist freundlich.,A1,noun,Work,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0141,Computer,der,computer,Der Computer ist neu.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0143,Dame,die,lady,Sehr geehrte Damen und Herren.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0145,Dank,der,thanks,Vielen Dank.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0149,Datum,das,date,Schreiben Sie bitte das Datum.,A1,noun,Time,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0157,Disco,die,disco; club,Wir gehen heute in die Disco.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0158,Doktor,der,doctor,Ich gehe zum Doktor.,A1,noun,Health,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0159,Doppelzimmer,das,double room,Wir möchten ein Doppelzimmer.,A1,noun,Housing,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0160,Dorf,das,village,Meine Familie lebt in einem Dorf.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0164,Drucker,der,printer,Der Drucker ist kaputt.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0168,Durchsage,die,announcement,Ich verstehe die Durchsage nicht.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0169,Durst,der,thirst,Ich habe Durst.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0170,Dusche,die,shower,Die Wohnung hat eine Dusche.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0172,E-Mail,die,email,Ich schreibe eine E-Mail.,A1,noun,Communication,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0173,Ecke,die,corner,Die Post ist an der Ecke.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0174,Ehefrau,die,wife,Das ist meine Ehefrau.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0175,Ehemann,der,husband,Das ist mein Ehemann.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0176,Ei,das,egg,Ich esse ein Ei zum Frühstück.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0180,Eingang,der,entrance,Der Eingang ist links.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0183,Einladung,die,invitation,Danke für die Einladung.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0186,Eintritt,der,admission; entrance fee,Der Eintritt kostet fünf Euro.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0187,Einzelzimmer,das,single room,Haben Sie ein Einzelzimmer?,A1,noun,Housing,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0189,Empfänger,der,recipient,Der Empfänger steht auf dem Brief.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0191,Ende,das,end,Am Ende gehen wir nach Hause.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0194,Entschuldigung,die,apology; excuse,Entschuldigung ich komme zu spät.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0196,Ergebnis,das,result,Das Ergebnis ist gut.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0205,Fahrer,der,driver,Der Fahrer wartet.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0206,Fahrkarte,die,ticket,Ich kaufe eine Fahrkarte.,A1,noun,Travel,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0207,Fahrrad,das,bicycle,Mein Fahrrad ist rot.,A1,noun,Travel,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0209,Familie,die,family,Meine Familie lebt hier.,A1,noun,Family,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0210,Familienname,der,family name/surname,Mein Familienname ist Müller.,A1,noun,Family,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0211,Familienstand,der,marital status,Mein Familienstand ist ledig.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0212,Farbe,die,color,Welche Farbe magst du?,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0213,Fax,das,fax,Ich schicke ein Fax.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0215,Fehler,der,mistake,Ich mache einen Fehler.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0216,Feierabend,der,end of workday,Um fünf habe ich Feierabend.,A1,noun,Work,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0218,Feiertag,der,holiday,Morgen ist ein Feiertag.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0221,Feuer,das,fire,Haben Sie Feuer?,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0222,Fieber,das,fever,Das Kind hat Fieber.,A1,noun,Health,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0223,Film,der,film/movie,Der Film beginnt um acht.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0225,Firma,die,company,Sie arbeitet in einer Firma.,A1,noun,Work,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0226,Fisch,der,fish,Ich esse gern Fisch.,A1,noun,Food,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0227,Flasche,die,bottle,Ich kaufe eine Flasche Wasser.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0228,Fleisch,das,meat,Ich esse kein Fleisch.,A1,noun,Food,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0230,Flughafen,der,airport,Der Flughafen ist weit weg.,A1,noun,Travel,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0231,Flugzeug,das,airplane,Das Flugzeug ist groß.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0232,Formular,das,form,Bitte füllen Sie das Formular aus.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0233,Foto,das,photo,Ich mache ein Foto.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0234,Frage,die,question,Ich habe eine Frage.,A1,noun,Communication,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0236,Frau,die,woman/Mrs./wife,Die Frau trinkt Kaffee.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0238,Freizeit,die,free time,In meiner Freizeit lese ich.,A1,noun,Time,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0240,Freund,der,friend,Mein Freund kommt morgen.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0242,Frühstück,das,breakfast,Das Frühstück ist fertig.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0244,Führung,die,guided tour,Die Führung beginnt jetzt.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0246,Fuß,der,foot,Mein Fuß tut weh.,A1,noun,Health,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0247,Fußball,der,football/soccer,Die Kinder spielen Fußball.,A1,noun,Health,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0248,Garten,der,garden,Der Garten ist schön.,A1,noun,Housing,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0249,Gast,der,guest,Heute kommt ein Gast.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0252,Geburtsjahr,das,year of birth,Mein Geburtsjahr ist 2014.,A1,noun,Time,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0253,Geburtsort,der,place of birth,Mein Geburtsort ist Tokio.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0254,Geburtstag,der,birthday,Heute ist mein Geburtstag.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0259,Geld,das,money,Ich brauche Geld.,A1,noun,Shopping,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0260,Gemüse,das,vegetables,Wir kaufen Gemüse.,A1,noun,Food,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0262,Gepäck,das,luggage,Mein Gepäck ist schwer.,A1,noun,Travel,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0266,Geschäft,das,shop/business,Das Geschäft ist offen.,A1,noun,Travel,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0267,Geschenk,das,gift,Das Geschenk ist schön.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0269,Geschwister,die,siblings,Ich habe zwei Geschwister.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0270,Gespräch,das,conversation,Das Gespräch ist kurz.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0273,Getränk,das,drink,Ich möchte ein Getränk.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0274,Gewicht,das,weight,Mein Gewicht ist normal.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0276,Glas,das,glass,Ich nehme ein Glas Wasser.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0279,Gleis,das,track/platform,Der Zug fährt von Gleis zwei.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0280,Glück,das,luck,Viel Glück!,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0282,Glückwunsch,der,congratulations,Herzlichen Glückwunsch!,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0283,Grad,der,degree,Heute sind es zwanzig Grad.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0286,Größe,die,size,Welche Größe brauchen Sie?,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0288,Großeltern,die,grandparents,Meine Großeltern wohnen hier.,A1,noun,Family,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0289,Großmutter,die,grandmother,Meine Großmutter kocht gern.,A1,noun,Family,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0290,Großvater,der,grandfather,Mein Großvater ist alt.,A1,noun,Family,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0291,Gruppe,die,group,Unsere Gruppe lernt Deutsch.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
